50,0.01,0,0,0,0,0
50,0.02,0,0,0,0,0
50,0.05,0,0,0,0,0
50,0.1,0,0,0,0,0
60,0.01,0,0,0,0,0
60,0.02,0,0,0,0,0
60,0.05,0,0,0,0,0
60,0.1,0,0,0,0,0
70,0.01,0,0,0,0,0
70,0.02,0,0,0,0,0
70,0.05,0,0,0,0,0
70,0.1,0,0,0,0,0
80,0.01,0,0,0,0,0
80,0.02,0,0,0,0,0
80,0.05,0,0,0,0,0
80,0.1,0,0,0,0,0
90,0.01,0,0,0,0,0
90,0.02,0,0,0,0,0
90,0.05,0,0,0,0,0
90,0.1,0,0,0,0,0
100,0.01,0,0,0,0,0
100,0.02,0,0,0,0,0
100,0.05,0,0,0,0,0
100,0.1,0,0,0,0,0
110,0.01,0,0,0,0,0
110,0.02,0,0,0,0,0
110,0.05,0,0,0,0,0
110,0.1,0,0,0,0,0
120,0.01,0,0,0,0,0
120,0.02,0,0,0,0,0
120,0.05,0,0,0,0,0
120,0.1,0,0,0,0,0
