Problem:    lb_2
Rows:       2960
Columns:    8374 (8372 integer, 8372 binary)
Non-zeros:  33537
Status:     INTEGER OPTIMAL
Objective:  IND = 1016 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 IND                      1016                             
     2 CI1                         0            -0               
   157 TDS[8,4]                    2             2             = 
   158 TDS[8,5]                    2             2             = 
   159 TDS[8,6]                    2             2             = 
   160 TDS[8,7]                    2             2             = 
   161 TDS[8,9]                    2             2             = 
   162 TDS[8,10]                   2             2             = 
   163 TDS[8,11]                   2             2             = 
   164 TDS[8,12]                   2             2             = 
   165 TDS[8,13]                   2             2             = 
   166 TDS[9,0]                    2             2             = 
   167 TDS[9,1]                    2             2             = 
   168 TDS[9,2]                    2             2             = 
   169 TDS[9,3]                    2             2             = 
   170 TDS[9,4]                    2             2             = 
   171 TDS[9,5]                    2             2             = 
   172 TDS[9,6]                    2             2             = 
   173 TDS[9,7]                    2             2             = 
   174 TDS[9,8]                    2             2             = 
   175 TDS[9,10]                   2             2             = 
   176 TDS[9,11]                   2             2             = 
   177 TDS[9,12]                   2             2             = 
   178 TDS[9,13]                   2             2             = 
   179 TDS[10,0]                   2             2             = 
   180 TDS[10,1]                   2             2             = 
   181 TDS[10,2]                   2             2             = 
   182 TDS[10,3]                   2             2             = 
   183 TDS[10,4]                   2             2             = 
   184 TDS[10,5]                   2             2             = 
   185 TDS[10,6]                   2             2             = 
   186 TDS[10,7]                   2             2             = 
   187 TDS[10,8]                   2             2             = 
   188 TDS[10,9]                   2             2             = 
   189 TDS[10,11]                  2             2             = 
   190 TDS[10,12]                  2             2             = 
   191 TDS[10,13]                  2             2             = 
   192 TDS[11,0]                   2             2             = 
   193 TDS[11,1]                   2             2             = 
   194 TDS[11,2]                   2             2             = 
   195 TDS[11,3]                   2             2             = 
   196 TDS[11,4]                   2             2             = 
   197 TDS[11,5]                   2             2             = 
   198 TDS[11,6]                   2             2             = 
   199 TDS[11,7]                   2             2             = 
   200 TDS[11,8]                   2             2             = 
   201 TDS[11,9]                   2             2             = 
   202 TDS[11,10]                  2             2             = 
   203 TDS[11,12]                  2             2             = 
   204 TDS[11,13]                  2             2             = 
   205 TDS[12,0]                   2             2             = 
   206 TDS[12,1]                   2             2             = 
   207 TDS[12,2]                   2             2             = 
   208 TDS[12,3]                   2             2             = 
   209 TDS[12,4]                   2             2             = 
   210 TDS[12,5]                   2             2             = 
   211 TDS[12,6]                   2             2             = 
   212 TDS[12,7]                   2             2             = 
   213 TDS[12,8]                   2             2             = 
   214 TDS[12,9]                   2             2             = 
   215 TDS[12,10]                  2             2             = 
   216 TDS[12,11]                  2             2             = 
   217 TDS[12,13]                  2             2             = 
   218 TDS[13,0]                   2             2             = 
   219 TDS[13,1]                   2             2             = 
   220 TDS[13,2]                   2             2             = 
   221 TDS[13,3]                   2             2             = 
   222 TDS[13,4]                   2             2             = 
   223 TDS[13,5]                   2             2             = 
   224 TDS[13,6]                   2             2             = 
   225 TDS[13,7]                   2             2             = 
   226 TDS[13,8]                   2             2             = 
   227 TDS[13,9]                   2             2             = 
   228 TDS[13,10]                  2             2             = 
   229 TDS[13,11]                  2             2             = 
   230 TDS[13,12]                  2             2             = 
   231 TDD[0,1]                    2             2             = 
   232 TDD[0,2]                    2             2             = 
   233 TDD[0,3]                    2             2             = 
   234 TDD[0,4]                    2             2             = 
   235 TDD[0,5]                    2             2             = 
   236 TDD[0,6]                    2             2             = 
   237 TDD[0,7]                    2             2             = 
   238 TDD[0,8]                    2             2             = 
   239 TDD[0,9]                    2             2             = 
   240 TDD[0,10]                   2             2             = 
   241 TDD[0,11]                   2             2             = 
   242 TDD[0,12]                   2             2             = 
   243 TDD[0,13]                   2             2             = 
   244 TDD[1,0]                    2             2             = 
   245 TDD[1,2]                    2             2             = 
   246 TDD[1,3]                    2             2             = 
   247 TDD[1,4]                    2             2             = 
   248 TDD[1,5]                    2             2             = 
   249 TDD[1,6]                    2             2             = 
   250 TDD[1,7]                    2             2             = 
   251 TDD[1,8]                    2             2             = 
   252 TDD[1,9]                    2             2             = 
   253 TDD[1,10]                   2             2             = 
   254 TDD[1,11]                   2             2             = 
   255 TDD[1,12]                   2             2             = 
   256 TDD[1,13]                   2             2             = 
   257 TDD[2,0]                    2             2             = 
   258 TDD[2,1]                    2             2             = 
   259 TDD[2,3]                    2             2             = 
   260 TDD[2,4]                    2             2             = 
   261 TDD[2,5]                    2             2             = 
   262 TDD[2,6]                    2             2             = 
   263 TDD[2,7]                    2             2             = 
   264 TDD[2,8]                    2             2             = 
   265 TDD[2,9]                    2             2             = 
   266 TDD[2,10]                   2             2             = 
   267 TDD[2,11]                   2             2             = 
   268 TDD[2,12]                   2             2             = 
   269 TDD[2,13]                   2             2             = 
   270 TDD[3,0]                    2             2             = 
   271 TDD[3,1]                    2             2             = 
   272 TDD[3,2]                    2             2             = 
   273 TDD[3,4]                    2             2             = 
   274 TDD[3,5]                    2             2             = 
   275 TDD[3,6]                    2             2             = 
   276 TDD[3,7]                    2             2             = 
   277 TDD[3,8]                    2             2             = 
   278 TDD[3,9]                    2             2             = 
   279 TDD[3,10]                   2             2             = 
   280 TDD[3,11]                   2             2             = 
   281 TDD[3,12]                   2             2             = 
   282 TDD[3,13]                   2             2             = 
   283 TDD[4,0]                    2             2             = 
   284 TDD[4,1]                    2             2             = 
   285 TDD[4,2]                    2             2             = 
   286 TDD[4,3]                    2             2             = 
   287 TDD[4,5]                    2             2             = 
   288 TDD[4,6]                    2             2             = 
   289 TDD[4,7]                    2             2             = 
   290 TDD[4,8]                    2             2             = 
   291 TDD[4,9]                    2             2             = 
   292 TDD[4,10]                   2             2             = 
   293 TDD[4,11]                   2             2             = 
   294 TDD[4,12]                   2             2             = 
   295 TDD[4,13]                   2             2             = 
   296 TDD[5,0]                    2             2             = 
   297 TDD[5,1]                    2             2             = 
   298 TDD[5,2]                    2             2             = 
   299 TDD[5,3]                    2             2             = 
   300 TDD[5,4]                    2             2             = 
   301 TDD[5,6]                    2             2             = 
   302 TDD[5,7]                    2             2             = 
   303 TDD[5,8]                    2             2             = 
   304 TDD[5,9]                    2             2             = 
   305 TDD[5,10]                   2             2             = 
   306 TDD[5,11]                   2             2             = 
   307 TDD[5,12]                   2             2             = 
   308 TDD[5,13]                   2             2             = 
   309 TDD[6,0]                    2             2             = 
   310 TDD[6,1]                    2             2             = 
   311 TDD[6,2]                    2             2             = 
   312 TDD[6,3]                    2             2             = 
   313 TDD[6,4]                    2             2             = 
   314 TDD[6,5]                    2             2             = 
   315 TDD[6,7]                    2             2             = 
   316 TDD[6,8]                    2             2             = 
   317 TDD[6,9]                    2             2             = 
   318 TDD[6,10]                   2             2             = 
   319 TDD[6,11]                   2             2             = 
   320 TDD[6,12]                   2             2             = 
